Date,Equity
2023-04-07,990239.8888808171
2023-04-10,1015652.9338459256
2023-04-11,1027695.6830284043
2023-04-12,1055333.596599963
2023-04-13,1035834.8902217502
2023-04-14,1040968.4970684517
2023-04-17,1038829.610787552
2023-04-18,1028319.6158121385
2023-04-19,1047466.7335347225
2023-04-20,1026821.401949883
2023-04-21,995701.5805059959
2023-04-24,1006120.2055046274
2023-04-25,977251.467737875
2023-04-26,989667.8596679197
2023-04-27,1007097.3879237738
2023-04-28,1014688.2231324903
2023-05-02,1039952.7833507815
2023-05-03,1026497.605040755
2023-05-04,1032664.6891008634
2023-05-05,1026128.0380449848
2023-05-08,1038305.9798282636
2023-05-09,1032406.1665838625
2023-05-10,1025650.9900168822
2023-05-11,1022529.8853578547
2023-05-12,1028513.4645822527
2023-05-15,1031136.0403198596
2023-05-16,1035691.3324255329
2023-05-17,1035056.7378291024
2023-05-18,1048172.3277114175
2023-05-19,1070304.8426144978
2023-05-22,1070162.0411280917
2023-05-23,1081048.2028362113
2023-05-24,1083982.7572453246
2023-05-25,1122235.3636503525
2023-05-26,1126906.032737765
2023-05-29,1169617.7188846911
2023-05-30,1163419.0012846503
2023-05-31,1165446.696923368
2023-06-01,1183397.592299032
2023-06-02,1203798.0659857949
2023-06-05,1210561.235962729
2023-06-06,1208457.6258921865
2023-06-07,1242259.2653010231
2023-06-08,1207930.563306987
2023-06-09,1249972.4617869656
2023-06-12,1245911.2779907235
2023-06-13,1277332.2498806277
2023-06-14,1285318.8642676268
2023-06-15,1332534.551253767
2023-06-16,1354787.8258036734
2023-06-19,1343737.856514255
2023-06-20,1339581.2164761783
2023-06-21,1361415.7151514564
2023-06-26,1337492.7194278552
2023-06-27,1287291.8155655337
2023-06-28,1293136.8642706163
2023-06-29,1316949.2146924646
2023-06-30,1343161.2177394656
2023-07-03,1383644.4965619112
2023-07-04,1454534.3618156775
2023-07-05,1439249.905328468
2023-07-06,1425871.1340787038
2023-07-07,1417901.345915821
2023-07-10,1432949.0975431784
2023-07-11,1496894.1462526484
2023-07-12,1548831.9261242952
2023-07-13,1589800.3660257184
2023-07-14,1628506.5646552143
2023-07-17,1630576.3353164997
2023-07-18,1623145.8394469763
2023-07-19,1603056.1893715013
2023-07-20,1651525.1032777575
2023-07-21,1731623.5525740744
2023-07-24,1760542.5881734486
2023-07-25,1739872.0343372577
2023-07-26,1740216.1310386457
2023-07-27,1736307.6472859425
2023-07-28,1775986.5690787835
2023-07-31,1718159.6985773754
2023-08-01,1691203.0645179036
2023-08-02,1579019.2335682746
2023-08-04,1589174.7665698424
2023-08-07,1664765.7267331504
2023-08-08,1657138.6993671306
2023-08-09,1654841.029382943
2023-08-10,1584723.285429937
2023-08-11,1604597.7070291664
2023-08-14,1579976.5393040974
2023-08-15,1634418.9277797958
2023-08-16,1675460.6764732269
2023-08-17,1709603.5363006531
2023-08-18,1674083.0536625893
2023-08-21,1690411.9099641948
2023-08-22,1715569.4347681461
2023-08-23,1729080.1908568242
2023-08-24,1733355.516464174
2023-08-25,1705988.9674111193
2023-08-28,1690685.6842235117
2023-08-29,1692821.7720022048
2023-08-30,1692117.881939449
2023-08-31,1692228.0308387664
2023-09-01,1680571.8471437066
2023-09-04,1683850.2859659402
2023-09-05,1685229.1598026077
2023-09-06,1692640.2638887074
2023-09-07,1691073.32879616
2023-09-08,1689218.1328229941
2023-09-11,1682863.90390139
2023-09-12,1684888.8789769043
2023-09-13,1687043.7022870064
2023-09-14,1693338.1812718194
