,Score
3533,4.13
2383,4.101666666666667
3037,3.915
2368,3.838333333333333
2605,3.8166666666666664
3017,3.8083333333333336
2360,3.7483333333333335
2345,3.7266666666666666
2308,3.6033333333333335
6285,3.5683333333333334
6415,3.4266666666666663
3036,3.356666666666667
4938,3.308333333333333
3711,3.215
1326,3.015
2891,2.9516666666666667
2885,2.895
2357,2.848333333333334
2379,2.69
2887,2.598333333333333
2376,2.5533333333333332
3443,2.538333333333333
2618,2.42
3034,2.3966666666666665
2002,2.34
2382,2.3
6505,2.271666666666667
2886,2.2416666666666667
3481,2.185
1301,2.145
2330,2.08
1303,2.0633333333333335
2615,2.0533333333333332
2412,2.016666666666667
2603,1.9166666666666667
2882,1.7999999999999998
6446,1.7566666666666666
2395,1.688333333333333
3044,1.5799999999999998
3231,1.5683333333333336
2881,1.5233333333333332
2327,1.46
6239,1.4100000000000001
2449,1.3916666666666666
2884,1.3433333333333333
2324,1.3116666666666665
2303,1.2633333333333334
6770,1.22
1605,1.1866666666666665
2301,1.1616666666666666
2344,1.1116666666666668
3706,0.9583333333333333
2454,0.9233333333333333
1519,0.8833333333333333
2408,0.8716666666666667
2609,0.8099999999999999
2317,0.6916666666666667
3661,0.5349999999999999
2404,0.355
6669,0.26166666666666666
