Date,Equity
2025-11-28,1000000.0
2025-12-01,995672.7540502157
2025-12-02,1005271.739750823
2025-12-03,1015714.4870843496
2025-12-04,1014743.9418515768
2025-12-05,1034820.1945123281
2025-12-08,1034397.9003247824
2025-12-09,1041913.0929447205
2025-12-10,1048237.9794267121
2025-12-11,1045315.2659314576
2025-12-12,1064866.0862257187
2025-12-15,1054341.42523988
2025-12-16,1028614.289562525
2025-12-17,1030738.2450095968
2025-12-18,1030433.5495609773
2025-12-19,1048769.914734317
2025-12-22,1061509.5367435943
2025-12-23,1058571.5094646942
2025-12-24,1065096.8865513336
2025-12-26,1067044.2445301544
2025-12-29,1066930.4964245933
2025-12-30,1065361.376339661
2025-12-31,1065307.3162067803
2026-01-02,1083471.0884509105
2026-01-05,1115632.0196922845
2026-01-06,1151970.8519158813
2026-01-07,1168557.3970130826
2026-01-08,1167720.759562417
2026-01-09,1134010.7109537625
2026-01-12,1164568.0424252436
2026-01-13,1180352.9636650966
2026-01-14,1195280.4546335293
2026-01-15,1209573.0512908073
2026-01-16,1247847.5620994717
2026-01-19,1290854.8027008695
2026-01-20,1293834.0556009444
2026-01-21,1277476.2434974862
2026-01-22,1314021.9442232638
2026-01-23,1294574.7567987875
2026-01-26,1302147.8864036626
2026-01-27,1297403.3164065583
2026-01-28,1340877.8465020806
2026-01-29,1307755.4595179148
2026-01-30,1313461.5311149403
2026-02-02,1284331.8786311995
2026-02-03,1309296.1880007032
2026-02-04,1337033.921044374
2026-02-05,1266725.9494219068
2026-02-06,1248771.427673891
2026-02-09,1262716.6918555861
2026-02-10,1286569.267473892
2026-02-11,1289393.0471479213
2026-02-23,1328217.9334419295
2026-02-24,1371452.3116393047
2026-02-25,1413726.0958480558
2026-02-26,1438726.4667105987
2026-03-02,1420448.084840329
2026-03-03,1348785.7975025212
2026-03-04,1271243.8516018426
2026-03-05,1333047.5582554375
2026-03-06,1345957.556699041
2026-03-09,1280049.5917904594
2026-03-10,1319626.7586706849
2026-03-11,1357939.241460335
2026-03-12,1364692.8121344396
2026-03-13,1385860.984507217
2026-03-16,1361133.9408618552
2026-03-17,1414818.6842918782
2026-03-18,1439030.3216338486
2026-03-19,1464400.2407372661
2026-03-20,1448902.8353850134
2026-03-23,1361014.241576199
2026-03-24,1327052.1409949565
2026-03-25,1377570.2678743305
2026-03-26,1374563.9191582748
2026-03-27,1368795.7264359193
2026-03-30,1360630.8157457951
2026-03-31,1291452.9682707433
2026-04-01,1345977.2053656224
2026-04-02,1336311.508124793
2026-04-07,1361180.2558340672
2026-04-08,1423247.815558875
