Ticker,Sector,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,Regime,Tech_Gate
3037,electronics,2025-11-28,2025-12-09,187.5,228.03,0.2067,🟢 停利,7,1.0,open
2882,finance,2025-11-28,2025-12-12,65.2,69.74,0.0613,🟢 停利,10,1.0,open
2891,finance,2025-11-28,2025-12-15,43.65,46.54,0.0578,🟢 停利,11,1.0,open
2885,finance,2025-11-28,2025-12-17,36.45,39.42,0.0731,🟢 停利,13,1.0,open
2890,finance,2025-11-28,2025-12-17,27.2,28.86,0.0526,🟢 停利,13,1.0,open
3443,electronics,2025-11-28,2025-12-29,2145.0,2055.0,-0.0495,⚪ 時間到期,20,1.0,open
1303,traditional,2025-11-28,2025-12-29,57.8,58.7,0.0076,⚪ 時間到期,20,1.0,open
3017,electronics,2025-11-28,2025-12-29,1405.0,1545.0,0.091,⚪ 時間到期,20,1.0,open
1519,traditional,2025-11-28,2025-12-30,738.0,773.0,0.0392,⚪ 時間到期,21,1.0,open
2881,finance,2025-11-28,2025-12-30,93.2,97.0,0.0326,⚪ 時間到期,21,1.0,open
2344,semiconductor,2025-12-15,2026-01-02,71.63,89.76,0.2434,🟢 停利,12,1.0,open
2408,semiconductor,2025-12-29,2026-01-06,189.5,219.64,0.15,🟢 停利,5,1.0,open
2344,semiconductor,2026-01-02,2026-01-06,82.67,99.86,0.1986,🟢 停利,2,1.0,open
1605,traditional,2025-12-29,2026-01-08,34.55,39.88,0.1452,🟢 停利,7,1.0,open
3037,electronics,2025-12-09,2026-01-09,221.5,225.5,0.0101,⚪ 時間到期,21,1.0,strong
2383,semiconductor,2025-12-12,2026-01-14,1605.0,1670.0,0.0324,⚪ 時間到期,21,1.0,open
2404,semiconductor,2025-12-30,2026-01-14,922.0,1108.29,0.1926,🟢 停利,10,1.0,open
3481,electronics,2026-01-06,2026-01-14,20.5,24.06,0.1643,🟢 停利,6,1.0,open
2345,semiconductor,2025-12-17,2026-01-16,1160.0,1230.0,0.052,⚪ 時間到期,20,1.0,open
