Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
6285,2020-09-21,2020-09-25,68.15,60.27,-0.1217,🔴 停損,4,78.66,60.27
6116,2020-09-21,2020-09-25,8.18,7.27,-0.1173,🔴 停損,4,9.39,7.27
2344,2020-09-21,2020-09-25,12.49,11.36,-0.0965,🔴 停損,4,13.99,11.36
9945,2020-09-22,2020-09-29,19.01,17.77,-0.072,🔴 停損,5,20.68,17.77
2303,2020-09-21,2020-10-08,19.6,22.8,0.1549,🟢 停利,11,22.8,17.21
1760,2020-09-22,2020-10-13,121.36,102.56,-0.1607,🔴 停損,12,146.43,102.56
1519,2020-09-21,2020-10-22,34.16,37.97,0.1041,⚪ 時間到期,20,40.63,29.3
3481,2020-09-21,2020-10-22,9.19,9.14,-0.0127,⚪ 時間到期,20,10.66,8.09
2458,2020-09-21,2020-10-22,108.41,95.11,-0.1287,🔴 停損,20,125.69,95.44
3017,2020-09-22,2020-10-23,60.16,61.62,0.0172,⚪ 時間到期,20,70.98,52.05
6116,2020-09-25,2020-10-26,7.62,8.83,0.1505,🟢 停利,18,8.83,6.72
2344,2020-10-23,2020-10-26,14.59,16.69,0.1364,🟢 停利,1,16.69,13.01
2353,2020-09-25,2020-10-28,18.82,18.84,-0.0058,⚪ 時間到期,20,21.21,17.04
3533,2020-09-25,2020-10-28,402.34,397.59,-0.0186,⚪ 時間到期,20,457.24,361.17
9910,2020-09-29,2020-10-30,134.96,132.91,-0.022,⚪ 時間到期,20,148.1,125.11
2207,2020-10-13,2020-10-30,568.23,518.69,-0.0934,🔴 停損,13,634.29,518.69
2303,2020-10-08,2020-11-06,22.81,23.02,0.002,⚪ 時間到期,20,26.98,19.69
2615,2020-10-22,2020-11-09,15.48,19.02,0.2204,🟢 停利,12,18.42,13.27
2603,2020-10-26,2020-11-09,17.32,19.47,0.1163,🟢 停利,10,19.47,15.71
5871,2020-10-28,2020-11-09,102.17,109.55,0.0649,🟢 停利,8,109.55,96.64
2609,2020-11-06,2020-11-10,6.09,7.14,0.1638,🟢 停利,2,7.14,5.31
3481,2020-10-30,2020-11-12,9.19,8.43,-0.0897,🔴 停損,9,10.21,8.43
2609,2020-11-10,2020-11-12,6.98,6.07,-0.1362,🔴 停損,2,8.19,6.07
2615,2020-11-09,2020-11-18,19.04,22.24,0.16,🟢 停利,7,22.24,16.64
1519,2020-10-22,2020-11-19,37.75,38.5,0.013,⚪ 時間到期,20,45.0,32.31
2454,2020-10-22,2020-11-19,488.47,519.9,0.0571,⚪ 時間到期,20,545.07,446.02
2344,2020-10-26,2020-11-23,15.96,16.49,0.0262,⚪ 時間到期,20,18.28,14.21
2603,2020-11-09,2020-11-24,19.17,22.07,0.1432,🟢 停利,11,21.88,17.14
6116,2020-10-28,2020-11-25,8.67,8.64,-0.0109,⚪ 時間到期,20,9.73,7.88
2615,2020-11-18,2020-11-25,20.49,24.95,0.209,🟢 停利,5,24.95,17.15
3023,2020-10-30,2020-11-27,169.27,166.96,-0.0204,⚪ 時間到期,20,186.69,156.2
3037,2020-11-27,2020-12-04,81.23,73.34,-0.1034,🔴 停損,5,91.76,73.34
3661,2020-11-09,2020-12-07,588.15,582.78,-0.0159,⚪ 時間到期,20,693.24,509.33
2303,2020-12-04,2020-12-07,34.22,38.74,0.1244,🟢 停利,1,38.74,30.83
2603,2020-11-24,2020-12-09,22.09,26.02,0.17,🟢 停利,11,26.02,19.14
2327,2020-11-25,2020-12-09,100.84,110.46,0.0879,🟢 停利,10,110.46,93.63
2609,2020-11-12,2020-12-10,6.46,7.07,0.0868,⚪ 時間到期,20,7.88,5.39
5871,2020-11-12,2020-12-10,116.87,111.03,-0.0565,⚪ 時間到期,20,126.9,109.35
2303,2020-12-07,2020-12-14,37.62,33.87,-0.1059,🔴 停損,5,42.62,33.87
3443,2020-11-19,2020-12-17,318.51,308.78,-0.0372,⚪ 時間到期,20,366.24,282.72
6415,2020-11-19,2020-12-17,547.49,616.82,0.1189,⚪ 時間到期,20,672.3,453.89
9904,2020-11-23,2020-12-21,26.75,25.89,-0.0385,⚪ 時間到期,20,29.14,24.95
2615,2020-11-25,2020-12-21,23.65,28.73,0.2064,🟢 停利,18,28.73,19.84
2603,2020-12-10,2020-12-21,26.58,30.78,0.1501,🟢 停利,7,30.78,23.43
2408,2020-12-07,2020-12-23,79.15,71.47,-0.1031,🔴 停損,12,89.38,71.47
2609,2020-12-21,2020-12-24,8.7,10.18,0.1612,🟢 停利,3,10.18,7.6
3481,2020-12-10,2020-12-28,12.09,13.82,0.1351,🟢 停利,12,13.82,10.79
2603,2020-12-21,2020-12-28,28.81,33.78,0.1648,🟢 停利,5,33.78,25.07
2609,2020-12-24,2020-12-28,10.04,12.05,0.1926,🟢 停利,2,12.05,8.52
2344,2020-12-09,2020-12-29,23.57,27.42,0.1553,🟢 停利,14,26.87,21.1
2615,2020-12-21,2020-12-29,27.09,33.28,0.2201,🟢 停利,6,33.27,22.45
2605,2020-12-23,2020-12-29,16.83,20.05,0.1831,🟢 停利,4,19.85,14.56
2609,2020-12-28,2020-12-31,11.98,14.28,0.1838,🟢 停利,3,14.28,10.26
2603,2020-12-28,2021-01-04,32.19,39.19,0.2092,🟢 停利,4,38.55,27.41
6116,2020-12-09,2021-01-06,11.67,10.47,-0.109,🔴 停損,19,13.27,10.47
2605,2020-12-29,2021-01-07,20.07,17.32,-0.1427,🔴 停損,6,23.73,17.32
2303,2020-12-14,2021-01-12,34.83,36.56,0.0427,⚪ 時間到期,20,41.4,29.9
2610,2020-12-17,2021-01-12,10.56,9.39,-0.1164,🔴 停損,17,12.11,9.39
2201,2021-01-07,2021-01-12,42.51,37.48,-0.1244,🔴 停損,3,49.22,37.48
2345,2020-12-17,2021-01-15,272.89,251.72,-0.0839,⚪ 時間到期,20,306.88,247.4
2615,2020-12-29,2021-01-15,33.31,27.77,-0.172,🔴 停損,12,40.69,27.77
2603,2021-01-04,2021-01-15,39.23,33.24,-0.1583,🔴 停損,9,47.2,33.24
2344,2020-12-29,2021-01-18,27.45,23.18,-0.1613,🔴 停損,13,33.14,23.18
2609,2020-12-31,2021-01-18,13.56,11.33,-0.1702,🔴 停損,11,16.39,11.44
2308,2021-01-12,2021-01-18,283.99,256.88,-0.1017,🔴 停損,4,320.14,256.88
3481,2020-12-28,2021-01-26,13.18,12.03,-0.0931,⚪ 時間到期,20,16.04,11.03
2605,2021-01-12,2021-01-29,18.74,15.09,-0.2006,🔴 停損,13,23.62,15.09
3711,2021-01-15,2021-01-29,79.03,72.17,-0.0931,🔴 停損,10,88.18,72.17
2317,2021-01-15,2021-02-01,97.22,89.37,-0.0871,🔴 停損,11,107.69,89.37
3443,2021-01-06,2021-02-03,384.95,392.57,0.0128,⚪ 時間到期,20,445.67,339.41
3034,2021-01-18,2021-02-05,263.75,308.94,0.1633,🟢 停利,14,301.03,235.79
3661,2021-01-12,2021-02-18,789.94,921.78,0.1589,🟢 停利,20,921.78,691.05
2603,2021-01-15,2021-02-23,35.2,35.49,0.0013,⚪ 時間到期,20,45.91,27.16
2609,2021-01-18,2021-02-24,11.34,13.75,0.2035,⚪ 時間到期,20,15.78,8.01
2327,2021-01-18,2021-02-24,135.97,138.55,0.012,⚪ 時間到期,20,154.33,122.2
4142,2021-02-23,2021-02-24,66.65,56.98,-0.151,🔴 停損,1,77.54,58.49
2458,2021-01-26,2021-03-05,120.57,119.75,-0.0135,⚪ 時間到期,20,139.03,106.72
3034,2021-02-18,2021-03-05,346.83,304.24,-0.1288,🔴 停損,10,403.61,304.24
2377,2021-02-24,2021-03-05,125.45,111.62,-0.1163,🔴 停損,6,143.63,111.82
2379,2021-01-29,2021-03-10,373.58,336.31,-0.1059,⚪ 時間到期,20,432.22,329.6
6239,2021-01-29,2021-03-10,75.76,75.31,-0.0128,⚪ 時間到期,20,84.5,69.21
2317,2021-02-01,2021-03-11,91.46,96.3,0.0458,⚪ 時間到期,20,107.93,79.1
2360,2021-02-03,2021-03-15,187.62,159.8,-0.1541,⚪ 時間到期,20,230.9,155.17
6669,2021-02-05,2021-03-17,760.25,729.49,-0.047,⚪ 時間到期,20,895.69,658.67
1301,2021-03-11,2021-03-19,87.73,81.18,-0.081,🔴 停損,6,96.46,81.18
2603,2021-03-10,2021-03-23,35.61,43.4,0.2102,🟢 停利,9,42.99,30.08
3481,2021-03-05,2021-03-24,15.26,18.03,0.1733,🟢 停利,13,18.03,13.18
2603,2021-03-23,2021-03-24,43.44,38.56,-0.1185,🔴 停損,1,49.96,38.56
2609,2021-02-24,2021-03-25,14.25,16.01,0.1158,⚪ 時間到期,20,18.08,11.39
2618,2021-02-24,2021-03-25,12.91,13.2,0.0153,⚪ 時間到期,20,14.54,11.69
3034,2021-03-05,2021-03-26,304.96,373.0,0.2148,🟢 停利,15,373.0,253.92
2610,2021-03-05,2021-04-07,12.06,13.56,0.1162,⚪ 時間到期,20,14.59,10.17
3481,2021-03-24,2021-04-07,17.16,19.87,0.1497,🟢 停利,7,19.87,15.13
2609,2021-03-25,2021-04-07,16.62,21.78,0.3013,🟢 停利,6,20.3,13.86
2603,2021-03-26,2021-04-07,38.9,46.03,0.1751,🟢 停利,5,46.03,33.56
3481,2021-04-07,2021-04-09,19.65,22.56,0.1399,🟢 停利,2,22.56,17.47
6116,2021-04-07,2021-04-09,13.96,15.61,0.1099,🟢 停利,2,15.61,12.73
2881,2021-03-10,2021-04-12,33.71,36.44,0.0736,⚪ 時間到期,20,36.93,31.29
2376,2021-03-15,2021-04-12,71.11,81.99,0.1451,🟢 停利,17,81.99,62.95
